Date,Description,Amount,Card
09/29/2024,EVA AIR 6952458499329CAMBODIA KHNAME: EVAAIRPNAME DEPART:04/12/2025  TO XXX: XX: CLASS:X : STOP:  PNH TO TPE: BR: CLASS:V : STOP:   TO SFO: BR: CLASS:V : STOP:   TO XXX: XX: CLASS:X : STOP: ,,citi
09/29/2024,ZIPAIR 0000000KNNXYPWWW.ZIPAIRTOKHINAME: TEPOLAK SETH DEPART:03/27/2025  TO XXX: XX: CLASS:X : STOP:  SFO TO NRT: ZG: CLASS:N : STOP:   TO XXX: XX: CLASS:X : STOP:   TO XXX: XX: CLASS:X : STOP: ,,citi
09/29/2024,CHINAAIRLINE2972419908707TOKYO JPNAME: SETH TEPOLAK MS DEPART:04/01/2025  TO XXX: XX: CLASS:X : STOP:  NRT TO TPE: CI: CLASS:N : STOP:   TO PNH: CI: CLASS:N : STOP:   TO XXX: XX: CLASS:X : STOP: ,,citi
09/29/2024,EXPEDIA 72931038172096 EXPEDIA.COM WA PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,,citi
09/28/2024,COSTCO WHSE #1107 CHICAGO IL,,citi
09/28/2024,UNITED 0162424308792UNITED.COM TXNAME: SETH/TEPOLAK DEPART:03/25/2025 SFO TO NRT: UA: CLASS:S : STOP: X  TO SIN: NH: CLASS:S : STOP: O  TO PNH: SQ: CLASS:S : STOP: O  TO SFO: KE: CLASS:K : STOP: O,,citi
09/24/2024,"ONLINE PAYMENT, THANK YOU",,citi
09/22/2024,COSTCO WHSE #0778 FREMONT CA,,citi
09/22/2024,COSTCO WHSE #0778 FREMONT CA,,citi
09/22/2024,COSTCO WHSE #0778 FREMONT CA,,citi
09/22/2024,COSTCO WHSE #0778 FREMONT CA,,citi
09/21/2024,COSTCO GAS #1084 ATLANTA GA,,citi
09/21/2024,COSTCO WHSE #1084 ATLANTA GA,,citi
09/15/2024,COSTCO WHSE #0778 FREMONT CA,,citi
09/12/2024,"ONLINE PAYMENT, THANK YOU",,citi
09/12/2024,COSTCO GAS #1084 ATLANTA GA,,citi
09/09/2024,COSTCO WHSE #0423 SUNNYVALE CA,,citi
09/07/2024,VENTRA VENDING 03731 CHICAGO IL,,citi
09/03/2024,COSTCO WHSE #0778 FREMONT CA,,citi
09/02/2024,"ONLINE PAYMENT, THANK YOU",,citi
08/29/2024,"CHARGEPOINT, INC 408-841-4500 CA",,citi
08/28/2024,COSTCO GAS #1084 ATLANTA GA,,citi
08/26/2024,"ONLINE PAYMENT, THANK YOU",,citi
08/26/2024,CHEVRON 0093100 LOS ANGELES CA,,citi
08/25/2024,TESLA SUPERCHARGER US 877-7983752 CA,,citi
08/23/2024,EXPEDIA 72895132839660 EXPEDIA.COM WA PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,,citi
08/23/2024,COSTCO GAS #0569 COMMERCE CA,,citi
08/22/2024,COSTCO WHSE #0778 FREMONT CA,,citi
08/16/2024,EXPEDIA 72898373964648 EXPEDIA.COM WA PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,,citi
08/13/2024,"ONLINE PAYMENT, THANK YOU",,citi
08/12/2024,COSTCO WHSE #0778 FREMONT CA,,citi
08/12/2024,MEET FRESH FREMONT CA,,citi
08/11/2024,"ONLINE PAYMENT, THANK YOU",,citi
08/11/2024,EXPEDIA 72895132839660 EXPEDIA.COM WA PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,,citi
08/11/2024,COSTCO WHSE #0778 FREMONT CA,,citi
08/11/2024,83507 - WINCHESTER GARAGESAN JOSE CA,,citi
08/11/2024,TOCK ATPRESS PRESSNAPAVAL IL,,citi
08/10/2024,TST* EL JARDIN SAN JOSE CA,,citi
08/10/2024,SQ *BUN APPETIT Fremont CA,,citi
08/08/2024,CHIPOTLE 1846 MUNSTER IN,,citi
08/08/2024,TESLA SUPERCHARGER US 877-7983752 CA,,citi
08/08/2024,COSTCO WHSE #1107 CHICAGO IL,,citi
08/07/2024,Butch's Dry Dock Holland MI,,citi
08/05/2024,"ONLINE PAYMENT, THANK YOU",,citi
08/05/2024,TST*MIZU SUSHI Holland MI,,citi
08/05/2024,COSTCO GAS #0188 ATLANTA GA,,citi
08/04/2024,COSTCO WHSE #0744 WYOMING MI,,citi
08/03/2024,UNITED 0164423008225UNITED.COM TXNAME:  DEPART:,,citi
08/03/2024,UNITED 0164423008224UNITED.COM TXNAME:  DEPART:,,citi
08/03/2024,GINZA SUSHI & RAMEN. GRAND RAPIDS MI,,citi
08/01/2024,CHIPOTLE 2984 HOLLAND MI,,citi
07/31/2024,"ONLINE PAYMENT, THANK YOU",,citi
07/30/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/30/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/30/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/30/2024,TST* MIZU SUSHI Holland MI,,citi
07/29/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/29/2024,UA INFLT 0164421641259HOUSTON TXNAME:  DEPART:,,citi
07/29/2024,UNITED 0164421641210UNITED.COM TXNAME:  DEPART:,,citi
07/29/2024,TST* MIZU SUSHI Holland MI,,citi
07/28/2024,SQ *BUN APPETIT Fremont CA,,citi
07/28/2024,COSTCO WHSE #0778 FREMONT CA,,citi
07/27/2024,VENTRA ACCOUNT CHICAGO IL,,citi
07/27/2024,TST* MIZU SUSHI Holland MI,,citi
07/27/2024,KRUNG THAI RESTAURANT SAN JOSE CA,,citi
07/26/2024,"ONLINE PAYMENT, THANK YOU",,citi
07/26/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/25/2024,ALASKA AIR 0277114769813SEATTLE WANAME: KUO/YUEHLUNG DEPART:08/23/2024 SFO TO LAX: AS: CLASS:O : STOP: O,,citi
07/25/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/25/2024,EXPEDIA 72883483935892 EXPEDIA.COM WA,,citi
07/25/2024,UNITED 0162407842682UNITED.COM TXNAME: KUO/YUEHLUNG DEPART:08/13/2024  TO SFO: UA: CLASS:Y : STOP: O SFO TO TPE: UA: CLASS:Y : STOP: X,,citi
07/25/2024,DELTA AIR 0067114765845SEATTLE WANAME: KUO/YUEHLUNG DEPART:08/28/2024  TO : : CLASS: : STOP: O LAX TO SFO: DL: CLASS:E : STOP: O,,citi
07/24/2024,"ONLINE PAYMENT, THANK YOU",,citi
07/24/2024,MARIANOS #503 CHICAGO IL,,citi
07/24/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/24/2024,UNITED 0162407582962UNITED.COM TXNAME: KUO/YUEHLUNG DEPART:08/10/2024 ORD TO SFO: UA: CLASS:Y : STOP: X,,citi
07/24/2024,COSTCO WHSE #0744 WYOMING MI,,citi
07/23/2024,CHIPOTLE 2984 HOLLAND MI,,citi
07/22/2024,CHIPOTLE 2984 HOLLAND MI,,citi
07/22/2024,MARIANOS #503 CHICAGO IL,,citi
07/20/2024,MARIANOS #503 CHICAGO IL,,citi
07/20/2024,HOLLAND STATE PARK HOLLAND MI,,citi
07/20/2024,GINZA SUSHI & RAMEN. GRAND RAPIDS MI,,citi
07/20/2024,GREYHOUND Los Angeles CA,,citi
07/18/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/18/2024,COSTCO WHSE #1084 ATLANTA GA,,citi
07/17/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/17/2024,COSTCO GAS #1084 ATLANTA GA,,citi
07/16/2024,MARIANOS #503 CHICAGO IL,,citi
07/16/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/15/2024,COSTCO GAS #0188 ATLANTA GA,,citi
07/14/2024,VENTRA ACCOUNT CHICAGO IL,,citi
07/14/2024,MARIANOS #503 CHICAGO IL,,citi
07/13/2024,MARIANOS #503 CHICAGO IL,,citi
07/13/2024,COSTCO WHSE #0744 WYOMING MI,,citi
07/12/2024,"ONLINE PAYMENT, THANK YOU",,citi
07/12/2024,OURHOME CATERING MICHIGANHOLLAND MI,,citi
07/12/2024,COSTCO WHSE #0778 FREMONT CA,,citi
07/11/2024,PY *KUNG FU TEA - HOLLANDHOLLAND MI,,citi
07/11/2024,FAIRFIELD INN ANN ARBO ANN ARBOR MI PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,,citi
07/10/2024,MARIANOS #503 CHICAGO IL,,citi
07/10/2024,RUTH'S CHRIS STEAK HOUSE ANN ARBOR MI,,citi
07/09/2024,MARIANOS #503 CHICAGO IL,,citi
07/09/2024,COSTCO GAS #0188 ATLANTA GA,,citi
07/09/2024,COSTCO WHSE #0188 ATLANTA GA,,citi
07/09/2024,COSTCO WHSE #0188 ATLANTA GA,,citi
07/06/2024,VENTRA ACCOUNT CHICAGO IL,,citi
07/05/2024,OC LAU INC GARDEN GROVE CA,,citi
07/04/2024,SQ *KINROSE CREAMERY Pasadena CA,,citi
07/04/2024,TST* YIFANG FRUIT TEA - CPasadena CA,,citi
07/03/2024,"ONLINE PAYMENT, THANK YOU",,citi
07/03/2024,COSTCO WHSE #0744 WYOMING MI,,citi
07/02/2024,CHIPOTLE ONLINE CHIPOTLE.COM CA,,citi
07/02/2024,Costco Annual Membership Renewal 1-800-7,,citi
06/29/2024,MEIJER # 217 FUEL HOLLAND MI,,citi
06/29/2024,COSTCO WHSE #0744 WYOMING MI,,citi
06/28/2024,SQ *ANGKOR CHEF San Jose CA,,citi
06/27/2024,FACTORY COFFEE FREMONT CA,,citi
06/26/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
06/24/2024,BONCHON - SUNNYVALE SUNNYVALE CA,,citi
06/24/2024,IN-N-OUT MILPITAS MILPITAS CA,,citi
06/21/2024,COSTCO WHSE #0778 FREMONT CA,,citi
06/18/2024,"ONLINE PAYMENT, THANK YOU",,citi
06/15/2024,MIKIYA WAGYU SHABU HOU 131-27305592 IL,,citi
06/13/2024,"ONLINE PAYMENT, THANK YOU",,citi
06/10/2024,COSTCO GAS #0188 ATLANTA GA,,citi
06/08/2024,"ONLINE PAYMENT, THANK YOU",,citi
06/08/2024,TESLA SUPERCHARGER US 877-7983752 CA,,citi
06/08/2024,TESLA SUPERCHARGER US 877-7983752 CA,,citi
06/08/2024,COSTCO WHSE #0144 SAN FRANCISCOCA,,citi
06/07/2024,COSTCO WHSE #0778 FREMONT CA,,citi
06/05/2024,"ONLINE PAYMENT, THANK YOU",,citi
06/04/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
05/30/2024,"ONLINE PAYMENT, THANK YOU",,citi
05/30/2024,COSTCO WHSE #0188 ATLANTA GA,,citi
05/26/2024,COSTCO WHSE #0778 FREMONT CA,,citi
05/25/2024,COSTCO GAS #1084 ATLANTA GA,,citi
05/25/2024,COSTCO WHSE #1084 ATLANTA GA,,citi
05/24/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
05/18/2024,COSTCO WHSE #0778 FREMONT CA,,citi
05/17/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
05/09/2024,COSTCO WHSE #0188 ATLANTA GA,,citi
05/09/2024,COSTCO GAS #0188 ATLANTA GA,,citi
05/05/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
05/04/2024,COSTCO WHSE #0778 FREMONT CA,,citi
05/01/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
04/28/2024,ZIPPY AUTO WASH ANN ARBOR MI,,citi
04/28/2024,BP#1998046CAPL GA0036 MARIETTA GA,,citi
04/28/2024,COSTCO WHSE #0778 FREMONT CA,,citi
04/27/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
04/27/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
04/25/2024,COSTCO GAS #0188 ATLANTA GA,,citi
04/21/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
04/21/2024,WESTIN (WESTIN HOTELS) PHOENIX AZ PHONE NUMBER:  FOLIO NUMBER:  ARRIVE:  DEPART:,,citi
04/17/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
04/17/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
04/14/2024,COSTCO WHSE #0778 FREMONT CA,,citi
04/11/2024,COSTCO GAS #0188 ATLANTA GA,,citi
04/10/2024,"ONLINE PAYMENT, THANK YOU",,citi
04/07/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
04/07/2024,SQ *RAMEN NAGI VALLEY FAISanta Clara CA,,citi
04/06/2024,SEAPOT HOT POT & BAR SUNNYVALE CA,,citi
04/06/2024,COSTCO WHSE #0778 FREMONT CA,,citi
03/28/2024,"EV CONNECT, INC. 866-816-7584 CA",,citi
03/28/2024,ZIPPY AUTO WASH ANN ARBOR MI,,citi
03/27/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
03/26/2024,"ONLINE PAYMENT, THANK YOU",,citi
03/21/2024,COSTCO GAS #1084 ATLANTA GA,,citi
03/20/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
03/17/2024,COSTCO WHSE #1107 CHICAGO IL,,citi
03/16/2024,BERKELEY-PRKG IPS METER BERKELEY CA,,citi
03/16/2024,BERKELEY-PRKG IPS METER BERKELEY CA,,citi
03/16/2024,COSTCO WHSE #0778 FREMONT CA,,citi
03/10/2024,BP#1733807CABANISS ROAD FORSYTH GA,,citi
03/09/2024,COSTCO GAS #0188 ATLANTA GA,,citi
03/09/2024,COSTCO WHSE #0778 FREMONT CA,,citi
03/09/2024,COSTCO WHSE #0188 ATLANTA GA,,citi
03/08/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
03/05/2024,"ONLINE PAYMENT, THANK YOU",,citi
03/03/2024,COSTCO WHSE #0778 FREMONT CA,,citi
03/03/2024,COSTCO WHSE #0778 FREMONT CA,,citi
03/02/2024,"ONLINE PAYMENT, THANK YOU",,citi
03/02/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
02/29/2024,COSTCO GAS #1084 ATLANTA GA,,citi
02/28/2024,ZIPPY AUTO WASH ANN ARBOR MI,,citi
02/25/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
02/25/2024,COSTCO WHSE #0778 FREMONT CA,,citi
02/23/2024,"ONLINE PAYMENT, THANK YOU",,citi
02/16/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
02/16/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
02/16/2024,COSTCO WHSE #0778 FREMONT CA,,citi
02/10/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
02/10/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
02/10/2024,HANCOOK. OAKLAND CA,,citi
02/10/2024,COSTCO WHSE #1004 SAN JOSE CA,,citi
02/09/2024,GEN - FREMONT FREMONT CA,,citi
02/07/2024,"ONLINE PAYMENT, THANK YOU",,citi
02/06/2024,Tesla Inc Supercharger 877-7983752 CA,,citi
02/05/2024,Tesla Inc Supercharger 877-7983752 CA,,citi
02/03/2024,DELTA AIR 0062208164056800-2211212 CANAME: KUO/YUEHLUNG DEPART:03/15/2024  TO DTW: DL: CLASS:E : STOP:  DTW TO SFO: DL: CLASS:E : STOP: O  TO : : CLASS: : STOP: O,,citi
02/03/2024,UEP*DUMPLING HOME SAN FRANCISCOCA,,citi
02/02/2024,COSTCO WHSE #0778 FREMONT CA,,citi
02/02/2024,COSTCO WHSE #0778 FREMONT CA,,citi
02/01/2024,HAIDILAO HOT POT FREMONT FREMONT CA,,citi
02/01/2024,COSTCO WHSE #0778 FREMONT CA,,citi
01/28/2024,ZIPPY AUTO WASH ANN ARBOR MI,,citi
01/27/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
01/26/2024,"ONLINE PAYMENT, THANK YOU",,citi
01/26/2024,COSTCO GAS #1084 ATLANTA GA,,citi
01/24/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
01/17/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
01/15/2024,Tesla Inc Supercharger 877-7983752 CA,,citi
01/15/2024,Tesla Inc Supercharger 877-7983752 CA,,citi
01/13/2024,"ONLINE PAYMENT, THANK YOU",,citi
01/12/2024,Tesla Inc Supercharger 877-7983752 CA,,citi
01/12/2024,Tesla Inc Supercharger 877-7983752 CA,,citi
01/12/2024,Tesla Inc Supercharger 877-7983752 CA,,citi
01/11/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
01/11/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
01/09/2024,COSTCO GAS #0189 KENNESAW GA,,citi
01/08/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
01/06/2024,COSTCO WHSE #1107 CHICAGO IL,,citi
01/06/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
01/03/2024,"ONLINE PAYMENT, THANK YOU",,citi
01/03/2024,COSTCO WHSE #1106 ANN ARBOR MI,,citi
01/01/2024,SLURPING TURTLE - ANN 630-7888805 MI,,citi
